moduleName,featureName,stepDesc,precondition,controlType,inputText,controlAction,expectation,expectationLog,optional
,,设置页点击收听偏好设置,,Id=com.ximalaya.ting.android.main.application:id/main_preferenceSetting,,click,text==定制专属于你的喜马拉雅,设置_判断是否进入收听偏好设置页,
,,返回,,,,back,,,
,,设置页点击断点续听按钮,,Id=com.ximalaya.ting.android.main.application:id/main_continueListenSwitch,,click,,,
,,设置页恢复断点续听状态,,Id=com.ximalaya.ting.android.main.application:id/main_continueListenSwitch,,click,,,
,,设置页点击2G/3G/4G播放和下载按钮,,Id=com.ximalaya.ting.android.main.application:id/main_sb_without_wifi,,click,,,
,,设置页恢复2G/3G/4G播放和下载状态,,Id=com.ximalaya.ting.android.main.application:id/main_sb_without_wifi,,click,,,
,,设置页点击下载音质设置,,Id=com.ximalaya.ting.android.main.application:id/main_ll_track_quality_level,,click,text==下载音质,设置_判断是否进入下载音质页,
,,返回,,,,back,,,
,,设置页点击下载和缓存设置,,Id=com.ximalaya.ting.android.main.application:id/main_tv_down_cache,,click,text==缓存占用,设置_判断是否进入下载和缓存设置页,
,,返回,,,,back,,,
,,设置页点击特色功能,,Id=com.ximalaya.ting.android.main.application:id/main_specialFunc,,click,text==特色功能介绍,设置_判断是否进入特色功能页,
,,返回,,,,back,,,
,,设置页点击新版本介绍,,Id=com.ximalaya.ting.android.main.application:id/main_newVersionIntro,,click,text==新功能介绍,设置_判断是否进入新版本介绍页,
,,返回,,,,back,,,
,,设置页点击检查更新,,Id=com.ximalaya.ting.android.main.application:id/main_tv_check_update,,click,,,
,,设置页点击关于,,Id=com.ximalaya.ting.android.main.application:id/main_tv_about,,click,text==当前版本,设置_判断是否进入关于页,
>>>>>>>>,,,,,,,,,
